  4 57 51  9.99 13.22  6.52  1.85  4  1  2  1  0  2  0  0 10 15  9 15  2  5  7  0 16 23 18 16 1
  6 64 57  4.11  2.13  2.67  3.60  8  4  6  3  0  0  0  2  2  6  2  6  1  0  0  1 11 10  8 12 1
  7 66 52  8.01  4.01  5.02  2.69  5  6  5  5  1  0  0  0  3  3  3  2  0  0  0  0  9  9  8  7 1
 10 62 54  2.80  1.79  3.85  1.73  6  4  4  6  0  0  3  0  1  5  7  1  0  0  0  0  7  9 14  7 1
 13 59 47  8.67  3.53  2.26  3.07  8  6 10  8  6  2  2  1  2  5  1  4  3  4  0  2 19 17 13 15 1
 15 56 54  3.72  2.29  6.51  3.49  7  6  5  5  1  0  3  4  1  1  3  3  0  0  1  0  9  7 12 12 1
 18 66 40  5.17  1.36  1.62  0.92  9  5  5  4  5  0  0  0  2  3  3  3  1  0  0  0 17  8  8  7 1
 19 68 70  2.74  1.19  1.04  2.66  6  7  7 10  1  0  0  3  5  1  1  1  0  0  0  0 12  8  8 14 1
 20 69 53  7.50  2.12  3.36  1.07 15  6  7  6  2  0  0  0  1  4  3  4  0  0  1  0 18 10 11 10 1
 23 54 54  3.83  3.59  1.13  1.21  6  8  9  9  3  3  0  1  5  2  1  1  1  3  0  0 15 16 10 11 1
 28 60 43  4.54  2.29  2.55  1.30  7  6  8  6 10  2  3  0  1  6  5  9  0  1  1  0 18 15 17 15 1
 30 61 66 16.66  6.50  6.73  4.04  5  9  7  6  6  4  1  3 13  2  4  4 18  4  2  1 42 19 14 14 1
 32 62 58  5.82  5.62  3.19  1.61  7  9  5  6  1  1  0  0  2  1  3  2  0  2  0  0 10 13  8  8 1
 33 70 56  3.39  1.88  1.65  3.73 12 10  6  7  5  1  1  1  1  1  1  1  0  0  0  0 18 12  8  9 1
 34 58 59  3.89  4.06  4.98  2.98  5  5  5  5  0  0  0  1 15 15 15 15  0  0  0  0 20 20 20 21 1
 35 53 48 12.96  2.83  2.97  3.01 14 14 14 14 32  9 15  0  1  1  1  7  0  0  0  0 47 24 30 21 1
 36 57 62 12.80 12.59  4.51  6.68  4  0  0  7  0  0  0  7 11 30 30 15  5  3  0  1 20 33 30 30 1
 37 64 59  5.76  2.86  3.62  1.59  5  5  7  5  3  3  2  3  4  3  1  2  3  1  1  0 15 12 11 10 1
 40 72 75  4.29  8.76  2.08  1.37 10  8  7  7  1  3  0  0  1  2  1  1  0  1  0  0 12 14  8  8 1
 41 62 41  4.32  2.27  3.50  2.27  4  4  5  5  0  0  0  0  5  5  4  4  0  0  1  0  9  9 10  9 1
 47 51 39  6.21  8.18  4.18 10.30  7  7  5  5  0  0  0  4  1  2  2  3  0  0  0  0  8  9  7 12 1
 48 60 52  6.14  4.87  3.14  2.09  7  3  6  7  0  0  2  0  3 11  5  2  2  1  0  0 12 15 13  9 1
 49 69 60  8.41  6.84  5.97  9.53  7  7  6  5  0  0  0  6  1  2  1  2  0  0  0  1  8  9  7 14 1
 50 55 49 14.89  9.62 14.72 17.88  6  5  5  6  1  1  3  3  1  3  3  2  0  1  2  2  8 10 13 13 1
 56 58 54  9.86  3.95  1.60  1.88  3  5  4  3  1  2  0  1 10  3  6  6  0  3  1  1 14 13 11 11 1
 57 66 61  1.87  2.89  1.48  1.57  7  6  4  5  2  1  0  0  1  2  4  3  0  1  0  0 10 10  8  8 1
 58 59 48  3.88  3.07  4.71  3.39  6  3  5  5  1  1  0  0  1  6  2  2  0  0  0  0  8 10  7  7 1
 59 46 49  9.86  3.80  4.45 10.15  7  6  5  7  4  3  7  6  2  5  2  3  9  4  3  5 22 18 17 21 1
 61 62 49 10.40  2.96  1.80  4.34  8  8  6  6  2  0  0  4  6  2  4  4  1  2  0  1 17 12 10 15 1
 62 71 47  4.16  3.51  2.20  1.93  4  6  6  6  0  0  0  0  3  1  1  1  0  0  0  0  7  7  7  7 1
 63 71 63  5.25  4.82  1.55  2.52  6  6  7  7  0  0  0  0  2  3  2  2  2  0  0  0 10  9  9  9 1
 65 63 49  9.71  3.59  2.47  4.61  6  6  5  6  5  4  0  0  7  4  5  3  8  2  1  1 26 16 11 10 1
 66 55 42 12.85 11.35 10.54  1.98  6  8  5  5  2  0  0  0 10  7 10 10  4  6  3  0 22 21 18 15 1
 69 63 66  2.55  1.98  1.68  1.48 10 10  8  9  1  0  0  0  1  1  4  2  0  0  0  0 12 11 12 11 1
 70 63 45  2.28  2.51  2.46  1.21  7  7  8  5  1  0  2  0  1  7  1  2  0  0  1  0  9 14 12  7 1
 77 61 56  7.53  2.65  3.06  2.40  5  5  6  4  1  0  0  1  3  3  1  4  2  0  0  0 11  8  7  9 1
 79 61 57 11.35 12.78  5.27  4.49  6  8  7  7  3  3  4  2  3  1  3  2  5  0  0  1 17 12 14 12 1
 80 59 48  7.22  3.77  5.63  4.89  7  4  5  6  2  1  1  1  1  5  2  2  0  1  1  0 10 11  9  9 1
 81 56 53  6.16  4.85  5.79  2.94  2  1  5  2  0  1  0  1  9 15  3 14  4  1  4  0 15 18 12 17 1
 82 61 53  8.36  4.38  0.95  1.00  7  8  7  7 12 10  1  1  3  1  1  1  4  3  0  0 26 22  9  9 1
 83 62 46 10.34  4.26  5.20  8.73  5  5  5  5  1  0  0  0  4  2  3  4  2  0  0  1 12  7  8 10 1
 85 69 52  1.53  0.74  0.75  1.10  9  5  5  5  1  0  0  0  3  5  5  5  0  1  0  1 13 11 10 11 1
 87 48 51  5.21  4.60  4.48  9.70  6  5  6  6  0  0  0  1  4  3  2  3  1  0  0  2 11  8  8 12 1
