200 0    2.22  7  0.25  3    0.31  10   0.27  1.01  0.75  0.61  0.71
200 0    1.59  5  0.35  8    0.35  13   0.35  1.57  0.63  0.57  0.59
200 0    2.78  8  0.40  5    0.41  13   0.40  0.64  0.52  0.55  0.53
200 0    3.32  1  0.55  6    0.37   7   0.39  1.59  0.57  0.55  0.55
200 0    2.68  4  0.35  7    0.35  11   0.35  0.81  0.61  0.61  0.61
200 6    1.13  5  0.19  5    0.20  10   0.20  0.32  0.80  0.67  0.74
200 6    0.88  6  0.23  6    0.18  12   0.20  0.68  0.75  0.75  0.75
200 6    0.72  7  0.16  4    0.20  11   0.18  0.70  0.65  0.65  0.65
350 0    4.49  7  0.51  3    0.59  10   0.54  2.72  0.97  0.90  0.95
350 0    4.55  6  0.90  6    0.93  12   0.91  3.73  0.59  0.66  0.62
350 0    6.83  6  0.85  7    0.90  13   0.88  2.90  0.74  0.87  0.81
350 0    5.63  6  0.78  6    0.74  12   0.76  2.39  1.10  1.10  1.10
350 0    5.27  3  0.89  9    0.85  12   0.86  2.73  0.99  1.06  1.04
350 6    0.92  0     .  4    0.62   4   0.62  0.67     .  0.66  0.66
350 6    1.21  7  0.53  7    0.51  14   0.52  0.71  0.74  0.81  0.78
350 6    1.81  7  0.50  6    0.54  13   0.52  1.04  0.69  0.77  0.73
500 0   13.10  5  0.99  7    1.09  12   1.05  5.21  1.21  1.04  1.11
500 0   10.40  6  1.19  4    1.45  10   1.29  5.38  0.99  0.60  0.83
500 0   12.98  6  1.82 10    1.74  16   1.77  4.00  1.44  1.88  1.71
500 0   13.25  4  1.39  7    1.75  11   1.62  4.65  0.70  0.59  0.63
500 0   10.77  5  1.40  6    1.55  11   1.49  6.55  0.62  1.08  0.87
500 6    3.42  8  1.35  4    1.17  12   1.29  0.89  0.50  0.85  0.62
500 6    3.71  7  1.20  4    1.25  11   1.22  2.02  0.90  0.70  0.83
500 6    3.14  5  1.07  7    1.09  12   1.09  1.90  0.80  0.90  0.85
650 0   22.69  7  1.56  6    1.42  13   1.50  8.64  0.92  1.12  1.01
650 0   19.77  8  1.89  6    2.55  14   2.17  2.92  0.68  0.73  0.70
650 0   16.70  1  2.85  6    1.71   7   1.87  4.99  0.76  1.45  1.35
650 0   15.29  4  1.96  8    1.91  12   1.92  5.65  0.84  0.90  0.88
650 0   21.48  6  2.65  7    2.72  13   2.69  5.23  0.46  0.68  0.58
650 6    6.03  8  1.22  3    1.15  11   1.20  2.88  0.69  0.93  0.75
650 6    7.19  7  1.19  9    1.22  16   1.21  1.70  0.64  0.57  0.60
650 6    7.03  5  1.18  5    1.00  10   1.09  2.62  0.63  0.82  0.73
800 0   30.04  6  2.91  6    3.42  12   3.17  13.65 0.48  0.55  0.52
800 0   18.32  5  2.64  8    2.59  13   2.61  11.98 0.45  0.57  0.52
800 0   24.92 10  2.60  4    2.74  14   2.64  15.41 0.83  0.86  0.84
800 0   21.68  3  3.04  8    2.95  11   2.98  18.15 1.09  0.95  0.99
800 0   22.24  8  2.84  4    2.82  12   2.83  16.00 1.01  1.34  1.12
800 6   12.07  7  1.64  5    1.77  12   1.70  4.93  1.29  1.15  1.24
800 6   10.59  9  1.65  6    1.75  15   1.69  4.30  1.11  1.09  1.11
800 6   13.05  7  1.84  8    2.19  15   2.02  5.40  1.09   0.65 0.86

