 1  91  C .681 3.13  2.14 1.56  1.22 0.98 0.14 0.09 2.43 1.39  2030
 2  78  H .628 1.45  1.63 1.24  2.1  0.77 0.12 0.05 3.0  1.31  2450
 3  63  U .548 1.73  1.70 1.38   .   0.96 0.08 0.07  .   1.51  2450
 4  72  H .515 1.38  1.52 1.24  2.28 0.85 0.15 0.06 3.34 1.23  1750
 5  91  C .501 1.51  1.57 1.43  1.48 0.97 0.16 0.07 2.68 1.48  1600
 6  81  U .488 1.54  1.63 1.11  1.6  0.63 0.19 0.12 2.5  1.36  1600
 7  74  H .467 1.48  1.55 1.15  1.9  0.40 0.13 0.07 2.5  1.18  1875
 8  82  C .459 1.05  1.17 1.04  2.24 2.03 0.19 0.12 4.57 0.625 1125
 9  87  U .458 1.38  1.65 1.42  2.5  0.03 0.14 0.10 3.0  1.35  2265
10  78  C .456 1.53  1.59 1.59  1.6  0.24 0.18 0.12 2.1  1.46  2235
11  84  H .431 1.16  1.28 1.13  1.78 0.56 0.20 0.11 2.65 1.16  1480
12  89  U .430 1.14  1.19 0.925 2.3  1.8  0.14 0.12 4.4  1.40  1600
13  85  C .411 1.33  1.43 1.20  1.72 0.43 0.11 0.07 2.32 1.19  1750
14  75  U .410 0.931 1.05 0.984 3.08 0.55 0.12 0.06 3.81 0.888 1500
15  90  H .400 1.75  1.78 1.32   .    .    .    .    .   1.46  2175
16  80  H .393 0.915 0.89 0.905 3.5   .    .    .    .   0.694 1025
17  82  C .359 1.05  1.19 1.12  3.0  1.2  0.08 0.07 4.35 0.809 1550
18  85  U .354 0.625 0.75 0.745 4.8  5.1  1.04  .    .   0.35  1090
19  87  U .350 0.945 0.96 0.90   .    .    .    .    .   0.363  560
20  87  H .345 0.425 0.55 0.98   .    .    .    .    .   0.413  875
21  91  C .319 0.90  0.96 0.89   .    .    .    .    .   0.275  537

